date,name,year,letterboxd,rating,tv,director
2020-08-10,"Nico, 1988",2017,https://letterboxd.com/film/nico-1988/,3,,
2020-08-09,Ghost World,2001,https://letterboxd.com/film/ghost-world/,3,,
2020-07-27,Gummo,1997,https://letterboxd.com/film/gummo/,3,,
2020-06-30,Pineapple Express,2008,https://letterboxd.com/film/pineapple-express/,3.5,,
2020-05-10,Easy Rider,1969,https://letterboxd.com/film/easy-rider/,4,,
2020-05-10,Immoral Tales,1973,https://letterboxd.com/film/immoral-tales/,3.5,,
2020-05-09,Metropolitan,1990,https://letterboxd.com/film/metropolitan/,3,,
2020-05-08,Wayne's World,1992,https://letterboxd.com/film/waynes-world/,3,,
2020-05-07,The Half of It,2020,https://letterboxd.com/film/the-half-of-it/,2.5,,
2020-05-06,Days of Heaven,1978,https://letterboxd.com/film/days-of-heaven/,4,,
2020-05-05,Phoenix,2014,https://letterboxd.com/film/phoenix-2014/,4,,
2020-05-04,The Ballad of Buster Scruggs,2018,https://letterboxd.com/film/the-ballad-of-buster-scruggs/,3,,
2020-05-03,Fantasia,1940,https://letterboxd.com/film/fantasia/,3,,
2020-05-02,Trainspotting,1996,https://letterboxd.com/film/trainspotting/,4,,
2020-04-04,Paddington 2,2017,https://letterboxd.com/film/paddington-2/,3.5,,
2020-03-30,The Cruise,1970,https://letterboxd.com/film/the-cruise-1970/,3,,
2020-03-26,Uncut Gems,2019,https://letterboxd.com/film/uncut-gems/,4,,
2020-03-23,Fallen Angels,1995,https://letterboxd.com/film/fallen-angels/,3,,
2020-03-09,Orange Sunshine,2016,https://letterboxd.com/film/orange-sunshine/,2.5,,
2020-01-27,Parasite,2019,https://letterboxd.com/film/parasite-2019/,4.5,,Bong Joon-ho
2020-01-13,Marriage Story,2019,https://letterboxd.com/film/marriage-story-2019/,3.5,,
2019-12-07,The Great Beauty,2013,https://letterboxd.com/film/the-great-beauty/,4,,
2019-11-11,La Notte,1961,https://letterboxd.com/film/la-notte/,3,,
2019-11-04,Non-Fiction,2018,https://letterboxd.com/film/non-fiction/,3,,
2019-10-14,The Apartment,1960,https://letterboxd.com/film/the-apartment/,4,,
2019-10-13,Wintersleepers,1997,https://letterboxd.com/film/wintersleepers/,3.5,,
