"track","artist","album","name","cover"
"Open All Night","Bruce Springsteen","Nebraska","Yanoharés","https://i.scdn.co/image/ab67706c0000bebb8537e1e6c71a13bca7fedf75"
"Master of the Universe - 1996 Remaster","Hawkwind","In Search of Space","Yanoharés",
"Halloween","The Dream Syndicate","The Days Of Wine And Roses","Yanoharés",
"What Do You Want Me to Say?","Dismemberment Plan","Emergency & I","Yanoharés",
"Ramble Tamble","Creedence Clearwater Revival","Cosmo's Factory","Yanoharés",
"Too Many Chiefs - Not Enough Indians","Brant Bjork","Jalamanta","Yanoharés",
"Taking Too Long","Wipers","Youth of America","Yanoharés",
"She's The Star/I Take This Time","Arthur Russell","World Of Echo","Yanoharés",
"Viento","Caifanes","Caifanes","Yanoharés",
"The Unpredictable Landlord","Bedhead","WhatFunLifeWas","Yanoharés",
"Hit the North Part 1","The Fall","The Frenz Experiment","Yanoharés",
"Slippin' And Slidin' - Single Version","Buddy Holly","Giant","Chill'n60s","https://i.scdn.co/image/ab67706c0000bebbcd173c1cdaed2d4d0309c4fa"
"Can't Seem To Make You Mine","The Seeds","The Seeds","Chill'n60s",
"Pretty Big Mouth","Count Five","Psychotic Reaction","Chill'n60s",
"Watch Her Ride","Jefferson Airplane","After Bathing At Baxters","Chill'n60s",
"The Trip","Donovan","Sunshine Superman","Chill'n60s",
"Sure 'Nuff 'n' Yes, I Do","Captain Beefheart & His Magic Band","Safe As Milk","Chill'n60s",
"Magical Mystery Tour - Remastered 2009","The Beatles","Magical Mystery Tour (Remastered)","Chill'n60s",
"Bummer in the Summer - 2015 Remaster","Love","Forever Changes (2015 Remastered Version)","Chill'n60s",
"The Wind Cries Mary","Jimi Hendrix","Are You Experienced","Chill'n60s",
"I Had Too Much to Dream (Last Night)","The Electric Prunes","I Had Too Much To Dream (Last Night)","Chill'n60s",
"Help, I'm a Rock","The West Coast Pop Art Experimental Band","Part One","Chill'n60s",
"Religious Experience (feat. Syd Barrett) (Singing a Song in the Morning)","Kevin Ayers","Joy Of A Toy","Chill'n60s",
"Trouble Every Day","The Mothers Of Invention","Freak Out!","Chill'n60s",
"When Will You Come Home","Galaxie 500","On Fire","Sintiembres","https://i.scdn.co/image/ab67706c0000bebb9f4a29de78a09d05b177eeb4"
"Third Uncle - 2004 Digital Remaster","Brian Eno","Taking Tiger Mountain (By Strategy)","Sintiembres",
"Redondo Beach","Patti Smith","Horses (Legacy Edition)","Sintiembres",
"Travelogue","Duster","Contemporary Movement","Sintiembres",
"Trellisaze","Slowdive","Pygmalion","Sintiembres",
"Velvet Waltz","Built To Spill","Perfect from Now On","Sintiembres",
"You Can't Reach What You Hunger","The Telescopes","As Light Return","Sintiembres",
"Pearls Before Swine","77s","Seventy Sevens","Sintiembres",
"Then I Just Drifted Away","Spectrum","Highs, Lows And Heavenly Blows","Sintiembres",
"Chateau In Virginia Waters - Mono Version","T. Rex","My People Were Fair and Had Sky in Their Hair... But Now They're Content to Wear Stars on Their Brows (Deluxe Edition)","Sintiembres",
"All Thoughts Are Prey To Some Beast","Bill Callahan","Sometimes I Wish We Were An Eagle","Sintiembres",
"My Heart’s Reflection","Yo La Tengo","Electr-o-pura","Sintiembres",
"Ah Feel Like Ahcid","Captain Beefheart & His Magic Band","Strictly Personal","Sintiembres",
"Albatross","Star Horse","Albatross","Sintiembres",
"Open The Light","Boards of Canada","Music Has The Right To Children","Sintiembres",
"Ficciones","Todavía","Orange Faint of Sky","Sintiembres",
"Hard To Love A Man","Magnolia Electric Co.","What Comes After The Blues","Sintiembres",
"Faster - Remastered","Manic Street Preachers","The Holy Bible 20 (Remastered)","Sintiembres",
"Doomsday","JUNE OF 44","Four Great Points","Sintiembres",
"Come On! Feel the Illinoise! Part I: The World's Columbian Exposition Part II: Carl Sandburg Visits Me In A Dream","Sufjan Stevens","Illinois","Uncertainty","https://i.scdn.co/image/ab67706c0000bebbbe98b5925213d5acfa6f59b4"
"Dying on the Vine","John Cale","Artificial Intelligence","Uncertainty",
"Elevation","Television","Marquee Moon","Uncertainty",
"Figuración","Almendra","Almendra (50 Años)","Uncertainty",
"In Heaven","Dick Stusso","In Heaven","Uncertainty",
"Lord Can You Hear Me","Spacemen 3","Playing With Fire","Uncertainty",
"Honestly?","American Football","American Football","Uncertainty",
"Reason Why","Tram","Heavy Black Frame","Uncertainty",
"Peace In Mississippi","Earth","Pentastar: In The Style of Demons","Uncertainty",
"Negro Observer","Butthole Surfers","Psychic....Powerless....Another Man's Sac","Uncertainty",
"Fear Is A Man's Best Friend","John Cale","Fear","Uncertainty",
"Education Of The Girlchild: Biography","Meredith Monk","Dolmen Music","Uncertainty",
"Black Feather Wishes Rise","Brightblack Morning Light","Brightblack Morning Light","Uncertainty",
"The Book I Read - 2005 Remaster","Talking Heads","Talking Heads '77 (Deluxe Version)","Uncertainty",
"Dirt","The Stooges","Funhouse","Uncertainty",
"Mongoloid","DEVO","Q: Are We Not Men? A: We Are Devo!","Uncertainty",
"Springtheme","Ween","Pure Guava","Uncertainty",
"Artifact","Allah-Las","Worship the Sun","Post(blank)","https://i.scdn.co/image/ab67706c0000bebb1f75a411e231f961e60d8f71"
"Grey/Afro","Alexander 'Skip' Spence","Oar","Post(blank)",
"Some Things Last A Long Time","Daniel Johnston",1990,"Post(blank)",
"Barracuda","John Cale","Fear","Post(blank)",
"Winter Song","Nico","Chelsea Girl","Post(blank)",
"Starting Over","LSD and the Search for God","LSD and the Search for God","Post(blank)",
"Transitional Bird (Clever Girl)","Candy Claws","Ceres & Calypso in the Deep Time","Post(blank)",
"Under The Sky, Inside The Sea","Kitchens Of Distinction","Strange Free World","Post(blank)",
"Sight of You","Pale Saints","The Comforts of Madness","Post(blank)",
"Moonshake","CAN","Future Days (Remastered)","Post(blank)",
"The Worst is Over","Matt Elliott","Farewell to All we Know","Post(blank)",
"Your Gold Dress - 2001 Mix","The Dukes Of Stratosphear","Chips From The Chocolate Fireball","Post(blank)",
"Desire Lines","Deerhunter","Halcyon Digest","Post(blank)",
"Mary","Spiritualized","Sweet Heart Sweet Light","Post(blank)",
"Just a Little Piece Of Me","Sonic Boom","All Things Being Equal","Post(blank)",
"Sombre Reptiles - 2004 Digital Remaster","Brian Eno","Another Green World","Post(blank)",
"Take Your Time","Spiritualized","Lazer Guided Melodies","Sighchedelic","https://i.scdn.co/image/ab67706c0000bebb96a44d8f2cbe930ee28241d2"
"Cheree - 2019 - Remaster","Suicide","Suicide (2019 - Remaster)","Sighchedelic",
"(Something)","The Microphones","The Glow, Pt. 2","Sighchedelic",
