uri,title,artist,album,release,image,preview
spotify:track:2m4pMnVi3e9HuSwSci6dg8,When Will You Come Home,Galaxie 500,On Fire,1989-09-01,https://i.scdn.co/image/ab67616d0000b2736610d5c08e5b809ffb19b6d9,https://p.scdn.co/mp3-preview/dd5fa8429adc8bf199fa1377188638945ab1f3d6?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:6GXHs5QcBswJnoC5IoZ9lp,Third Uncle,Brian Eno,Taking Tiger Mountain (By Strategy),1974-11-01,https://i.scdn.co/image/ab67616d0000b2732bb53cf37575af8cc5078608,https://p.scdn.co/mp3-preview/11f061a213fde4d8d440d4e5305edc9b2a2c61c4?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:6zCBk93V8M7fPriZj9i4dd,Redondo Beach,Patti Smith,Horses (Legacy Edition),1975,https://i.scdn.co/image/ab67616d0000b273770198dcbd8d97b29e99b621,https://p.scdn.co/mp3-preview/8db230b25be78c2527fd8549c7eb0f020de865fb?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:21wEYISGjvCJxLyNSvH5b8,Travelogue,Duster,Contemporary Movement,2000-08-22,https://i.scdn.co/image/ab67616d0000b273ad9e39c33f748db0854b50cd,https://p.scdn.co/mp3-preview/3a20413c6c6022b06be73eb3afc7303246c4c342?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:40YGlmUwVuMpQZmW1nSl6I,Trellisaze,Slowdive,Pygmalion,1995,https://i.scdn.co/image/ab67616d0000b27330210bdfa1657ddc7479954c,https://p.scdn.co/mp3-preview/395be6667eaa699f37a9ae88923be9db42e4d556?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:4LBJyUs3B4ovaIImY5w5gW,Velvet Waltz,Built To Spill,Perfect from Now On,1997-01-10,https://i.scdn.co/image/ab67616d0000b273778b1aec8641ee2abeedec79,https://p.scdn.co/mp3-preview/7e5c098d1facf747f7d0df6baa8f41ac2c651ce6?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:2uzXpCdJLWF4bmYMyUTYGK,You Can't Reach What You Hunger,The Telescopes,As Light Return,2017-07-07,https://i.scdn.co/image/ab67616d0000b273f6eff651233e356f212f24c2,https://p.scdn.co/mp3-preview/636f431a7144ba557f229f0663a14f1228f19f11?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:0Sc2o9OZNVQs0D4QNXYWwg,Pearls Before Swine,77s,Seventy Sevens,2010-06-29,https://i.scdn.co/image/ab67616d0000b273f336af3beb9bb601e407378b,https://p.scdn.co/mp3-preview/b88bebd23ac90012669c1b4c310fd2dc2525b65d?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:6Dz3PAtqrRtRVdcO2Xfgde,Then I Just Drifted Away,Spectrum,"Highs, Lows And Heavenly Blows",1994-10-19,https://i.scdn.co/image/ab67616d0000b273e463f09b90000202e7732cc0,https://p.scdn.co/mp3-preview/33f22cdf8ca012310095851501a2798efc4c4d58?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:6ibKAnKzblT6VjoTKv7HVR,Chateau In Virginia Waters,T. Rex,My People Were Fair and Had Sky in Their Hair…,1968-07-05,https://i.scdn.co/image/ab67616d0000b2732951d308d5ee05ed191b0244,https://p.scdn.co/mp3-preview/8e2dd372ba5178b8a1e7cdf7d366bd3e9f202162?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:1EhtOYRE5CLvYZBoTOL6PY,All Thoughts Are Prey To Some Beast,Bill Callahan,Sometimes I Wish We Were An Eagle,2009-04-14,https://i.scdn.co/image/ab67616d0000b273c6588eca47e1b2c424f6c045,https://p.scdn.co/mp3-preview/e75223242e21552ddaabbb8ad50a4dc83056685a?cid=9950ac751e34487dbbe027c4fd7f8e99
