uri,title,artist,album,release,image,preview
spotify:track:6puA3V4iUFow4GMGFDf7qF,Open All Night,Bruce Springsteen,Nebraska,1982-09-30,https://i.scdn.co/image/ab67616d0000b2738935cadb8e3e20d9fab4582e,https://p.scdn.co/mp3-preview/92c657123c97fa4179febd7114050ff398b77f48?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:3q4hJtKfWjpJrEFtSFmqAf,Master of the Universe - 1996 Remaster,Hawkwind,In Search of Space,1971,https://i.scdn.co/image/ab67616d0000b273d715d1edd292a12f63c1d105,https://p.scdn.co/mp3-preview/be248f61dbd71a737a699c3a49865e33c777970d?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:3jMnN1hz20zDii0jNNFwOu,Halloween,The Dream Syndicate,The Days Of Wine And Roses,1982,https://i.scdn.co/image/ab67616d0000b27335725130fe3e0cec26c91688,https://p.scdn.co/mp3-preview/7f2be535c97809fc96b7210f9a176d6528726a33?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:2RWQocwO9CRJL617lTZ5fi,What Do You Want Me to Say?,Dismemberment Plan,Emergency & I,1999-01-01,https://i.scdn.co/image/ab67616d0000b273a8f2146aa9edf95167fce177,https://p.scdn.co/mp3-preview/1176767ffdc30cc9a31c37057a58e63779bbe655?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:47atuTch0AN7NvP9vp42a5,Ramble Tamble,Creedence Clearwater Revival,Cosmo's Factory,1970-07-25,https://i.scdn.co/image/ab67616d0000b27361834aa14b97a7d9c693134f,https://p.scdn.co/mp3-preview/6259d33a61dc6d769e98d5fed1a1d7ea981ca532?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:58wcOjSCfKbunXdfVQdpe9,Too Many Chiefs - Not Enough Indians,Brant Bjork,Jalamanta,1999,https://i.scdn.co/image/ab67616d0000b2735da233eb43961a5a35df5459,https://p.scdn.co/mp3-preview/795c566c8d83b1aebf2dd404c632044c839f3641?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:0p6wGaIcp8eN72Naz49VIh,Taking Too Long,Wipers,Youth of America,1981-05-17,https://i.scdn.co/image/ab67616d0000b273a99d8fd95b87b4275cecc3e3,https://p.scdn.co/mp3-preview/b8a134697a5a62c48f644dc5f81d2bbe5342a240?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:1TaoGZ4EByzkxCBLngWhXm,She's The Star/I Take This Time,Arthur Russell,World Of Echo,1986,https://i.scdn.co/image/ab67616d0000b273e583b34467e3d02048b96aa3,https://p.scdn.co/mp3-preview/1db0586346441ae23cd8603679d310622ce7180b?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:6QJCZyJv1fhkCyZA3lRoAD,Viento,Caifanes,Caifanes,1988-05-15,https://i.scdn.co/image/ab67616d0000b27352842eb76a050aa8daec1251,https://p.scdn.co/mp3-preview/4eb1f57d708114c6bdb83dee2fc1bdcf1064dfeb?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:5nQrRtYxSuPgBLHCVs4LfY,The Unpredictable Landlord,Bedhead,WhatFunLifeWas,1994,https://i.scdn.co/image/ab67616d0000b27326420531fd3c1f5941b378d3,https://p.scdn.co/mp3-preview/d3bf73b8bc847d4c6a3500dbe1e0d113160bc45d?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:0XciPb5F3Sm9eDOfUVLDhO,Hit the North Part 1,The Fall,The Frenz Experiment,1988-02-29,https://i.scdn.co/image/ab67616d0000b273dd0330f61d77b9f2b5e7fa2f,https://p.scdn.co/mp3-preview/08d0852bca72844b86b0a52bb53f56f077a7adbf?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:5r7CB27DmhfpJir4Pipb6p,The Fight,The dB's,Stands For Decibels,1981-01-01,https://i.scdn.co/image/ab67616d0000b2731a27aae5b9e3475d74abfc7b,https://p.scdn.co/mp3-preview/c4b7ad6cb5c4c0fe2833c4d6e0aa50d8ba7db893?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:3d6LjlWumSGnvSpTCJjWDi,Como el Viento Voy a Ver,Pescado Rabioso,Pescado Rabioso 2,1973-01-13,https://i.scdn.co/image/ab67616d0000b273714844f9b7c64a47b5bd2c93,https://p.scdn.co/mp3-preview/ec449b6157e301de033d4fa5ea8cdeb7c3a35921?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:0nKy1DTpSt1zNsg0wzpwZR,Rolling Home Again - 2013 Remaster,Budgie,Squawk (2013 remaster),1972-09-01,https://i.scdn.co/image/ab67616d0000b273425478bd5440775635e9593e,https://p.scdn.co/mp3-preview/a52c4a3a92e9a1be8ae31eb426adcbd63912bf97?cid=9950ac751e34487dbbe027c4fd7f8e99
